subjective_hour,SgA4,SgA5,SgA10,SgA11,SgA12,SgA13,SgA16,SgA17,SgA18,SgA19,SgB1,SgB5,SgB11,SgB12,SgB13
0,0.15833333333333333,0.0,0.11388888888888889,0.019444444444444445,0.20555555555555555,0.18055555555555555,0.1,0.07777777777777778,0.005555555555555556,0.275,0.025,0.0,0.05,0.013888888888888888,0.21666666666666667
1,0.0,0.0,0.041666666666666664,0.0,0.1638888888888889,0.18888888888888888,0.0,0.0,0.0,0.09444444444444444,0.14722222222222223,0.0,0.005555555555555556,0.005555555555555556,0.0
2,0.0,0.3638888888888889,0.005555555555555556,0.0,0.0,0.058333333333333334,0.05277777777777778,0.058333333333333334,0.0,0.3277777777777778,0.5,0.0,0.0,0.0,0.39166666666666666
3,0.05555555555555555,0.005555555555555556,0.05277777777777778,0.1,0.08611111111111111,0.0,0.016666666666666666,0.25555555555555554,0.14166666666666666,0.025,2.5142857142857142,0.0031746031746031746,0.050793650793650794,0.047619047619047616,0.0
4,0.1638888888888889,0.0,0.08611111111111111,0.21944444444444444,0.5194444444444445,0.022222222222222223,0.05,0.013888888888888888,0.0,0.0,1.4666666666666666,0.0,0.01,0.0,0.0
5,0.030555555555555555,0.0,0.0,0.0,0.0,0.05277777777777778,0.18055555555555555,0.0,0.002777777777777778,0.0,0.0,0.0,0.013333333333333334,0.0,0.0
6,0.0,0.11388888888888889,0.05555555555555555,0.0,0.0,0.058333333333333334,0.019444444444444445,0.0,0.0,0.008333333333333333,0.02666666666666667,0.0,0.06,0.0,0.0
7,0.005555555555555556,0.0,0.08888888888888889,0.0,0.0,0.03888888888888889,0.0,0.0,0.0,0.0,0.01,0.0,0.023333333333333334,0.013333333333333334,0.21944444444444444
8,0.002777777777777778,0.2638888888888889,0.04722222222222222,0.16666666666666666,0.0,0.10555555555555556,0.030555555555555555,0.15833333333333333,0.002777777777777778,0.002777777777777778,0.04666666666666667,0.0,0.01,0.0,0.0
9,0.0,0.2611111111111111,0.03333333333333333,0.39444444444444443,0.39166666666666666,0.28888888888888886,0.16944444444444445,0.19722222222222222,0.019444444444444445,0.005555555555555556,0.0,0.0,0.06,0.03,0.0
10,0.027777777777777776,0.11666666666666667,0.13055555555555556,0.15833333333333333,0.06666666666666667,0.1111111111111111,0.19166666666666668,0.49166666666666664,0.0,0.011111111111111112,0.03333333333333333,0.013333333333333334,0.043333333333333335,0.05333333333333334,0.17777777777777778
11,0.013888888888888888,0.0,0.21666666666666667,0.05277777777777778,0.3111111111111111,0.07777777777777778,0.019444444444444445,0.175,0.06666666666666667,0.04722222222222222,0.013333333333333334,0.02,0.056666666666666664,0.39666666666666667,0.0
12,0.34105960264900664,0.0,0.5066225165562914,0.34105960264900664,0.9867549668874173,0.023178807947019868,0.056291390728476824,1.0629139072847682,0.8344370860927153,0.44370860927152317,0.006666666666666667,0.28,0.15333333333333332,0.05333333333333334,0.0
13,0.53,1.7533333333333334,0.37,3.07,2.54,0.8933333333333333,0.16,2.56,0.3933333333333333,1.68,0.02666666666666667,0.06333333333333334,0.27666666666666667,0.35,0.0
14,0.03,1.52,0.0,0.13333333333333333,0.0,0.07666666666666666,0.26666666666666666,0.0,0.0,0.57,0.043333333333333335,0.22,0.09333333333333334,0.12333333333333334,0.0
15,0.02666666666666667,0.23666666666666666,0.0033333333333333335,0.0,0.9633333333333334,0.09,0.05333333333333334,0.043333333333333335,0.0,0.01,0.09,0.8633333333333333,0.04666666666666667,0.14333333333333334,0.0
16,0.023333333333333334,0.11666666666666667,0.006666666666666667,0.04,0.66,0.04,0.0,0.03333333333333333,0.0,0.01,0.15666666666666668,0.09,0.44,0.56,0.0
17,0.02,0.7066666666666667,0.02666666666666667,0.023333333333333334,0.0,0.02666666666666667,0.0,0.0,0.02,0.05,0.03333333333333333,0.0,0.0,0.0,0.0
18,0.06,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.02666666666666667,0.0,0.0,0.013333333333333334,0.05277777777777778
19,0.03666666666666667,0.0,0.043333333333333335,0.14,0.0033333333333333335,0.0,0.0,0.03,0.7666666666666667,0.02666666666666667,0.02666666666666667,0.0033333333333333335,0.0,0.0033333333333333335,0.0
20,0.09333333333333334,0.0,0.15,1.13,0.0,0.013333333333333334,0.0,0.44333333333333336,0.44666666666666666,0.13,0.056666666666666664,0.0,0.0033333333333333335,0.016666666666666666,0.0
21,0.07666666666666666,0.0,0.023333333333333334,0.016666666666666666,0.02,0.03,0.0,0.19333333333333333,0.20333333333333334,0.0033333333333333335,0.01,0.0,0.016666666666666666,0.01,0.044444444444444446
22,0.0033333333333333335,0.0,0.006666666666666667,0.016666666666666666,0.2966666666666667,0.07666666666666666,0.0,0.01,0.0,0.06333333333333334,0.01,0.0,0.05,0.0,0.03888888888888889
23,0.0033333333333333335,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.0,0.06,0.01,0.3416666666666667
